dimension,f_score,p_value
dim_21,2.5514130585011547,0.05449424758135907
dim_102,2.5489049167116757,0.054676242031706
dim_55,2.4903569418706355,0.05909677926751354
dim_93,2.475619497818952,0.06026318078993311
dim_45,2.4689484648921223,0.060798497234597376
dim_74,2.3631707860857767,0.06993042263723408
dim_82,2.3498023335910827,0.07117528826925407
dim_68,2.2565879295801543,0.08047218175263646
dim_50,2.239298658436542,0.08232122463862576
dim_54,2.1974373900331354,0.08696984699561872
dim_35,2.1858454618180314,0.08830129328986082
dim_30,2.1482148792609914,0.09276045658511077
dim_46,2.0962081764969698,0.09928183550553014
dim_43,2.087850605980148,0.10037016344715978
dim_7,1.9705299917928727,0.11691117939241842
dim_115,1.9215535322246098,0.12456288765819505
dim_70,1.909505716183665,0.12651721813683353
dim_90,1.8632348410059187,0.13429843868730756
dim_111,1.6669087912823235,0.1726623695021378
dim_117,1.639845575198977,0.1786990616352659
dim_73,1.5888419624055627,0.1906180999288633
dim_16,1.5765105845888112,0.193609530703454
dim_37,1.5630492949662258,0.19692512236062354
dim_88,1.4951424405362557,0.21447312241708844
dim_100,1.4350060915645555,0.23121360287772827
dim_86,1.3764505491848,0.24866419042749532
dim_5,1.3542994101483123,0.2555746465403118
dim_51,1.3177260803738378,0.2673689418877062
dim_11,1.28746057034495,0.2775008495024141
dim_36,1.2473997495204805,0.2914456931791893
dim_56,1.1862562015575604,0.3139446568379065
dim_14,1.0345275461433492,0.3765383941804439
dim_32,1.0111901226573707,0.3870679159085663
dim_52,0.9815352319319167,0.4008088270312017
dim_101,0.9795285238088502,0.4017533900533833
dim_108,0.9415522010084137,0.4199848880343565
dim_72,0.924389529056045,0.428447900235968
dim_112,0.8851700890640414,0.4483159630004451
dim_92,0.8663846210805111,0.45809499770304196
dim_48,0.8643940771758325,0.45914121943693453
dim_113,0.8524804270866345,0.465443198871637
dim_44,0.8260112700092582,0.4796918179027413
dim_58,0.7776807835041052,0.5065906482462712
dim_105,0.7187351909430554,0.5409376423466352
dim_114,0.6887378780094529,0.5590602245045697
dim_123,0.6800786172280143,0.5643712986975619
dim_22,0.6594635351503145,0.5771573230091369
dim_124,0.656222863503071,0.5791853216174261
dim_67,0.6521185978268619,0.581760740449816
dim_96,0.6405221343335056,0.5890794699011228
dim_13,0.5990652777504539,0.6157411120399462
dim_89,0.5609757450350116,0.6408970390750168
dim_84,0.5589705288070027,0.6422381560630972
dim_126,0.5201855867209463,0.6684914225521719
dim_34,0.5165828469654233,0.6709592800041078
dim_53,0.4830521372435161,0.6941488193031493
dim_47,0.4687046834917138,0.7041861790645221
dim_66,0.07354351357124857,0.974173940987745
dim_24,0.07261552214639436,0.9746402369945999
dim_94,0.07154671570582902,0.9751744101090115
dim_9,0.019676706428528316,0.9962491343015972
